,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Banda Aceh,ID,76.01,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
6,Inhambane,MZ,77.45,clear sky,-23.865,35.3833,Oceano
10,Wajir,KE,79.47,few clouds,1.7471,40.0573,Mahatallah Hotel
18,Sharjah,AE,82.38,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
21,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
28,Bubaque,GW,83.12,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
31,Sao Joao Da Barra,BR,78.89,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
32,Garissa,KE,80.49,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
35,Caravelas,BR,76.17,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
41,Dwarka,IN,79.32,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
46,Bhatkal,IN,79.79,overcast clouds,13.9667,74.5667,Nilawar Palace Lodge
47,Trairi,BR,79.2,few clouds,-3.2778,-39.2689,janelas do mar
48,Cabedelo,BR,77.67,light rain,-6.9811,-34.8339,Pousada Camboinha
49,Ambilobe,MG,75.02,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
50,Adrar,MR,75.2,few clouds,20.5022,-10.0711,
56,Presidencia Roque Saenz Pena,AR,76.87,heavy intensity rain,-26.7852,-60.4388,Hotel Gualok
59,Sinnamary,GF,80.1,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
60,San Andres,CO,87.82,few clouds,12.5847,-81.7006,Hotel Arena Blanca
62,Victoria,HK,75.94,clear sky,22.2855,114.1577,Mini Central
68,Porbandar,IN,77.95,clear sky,21.6422,69.6093,Lords Inn Porbandar
71,Cayenne,GF,78.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
74,Hithadhoo,MV,81.34,scattered clouds,-0.6,73.0833,Scoop Guest House
75,Dingle,PH,75.76,light rain,10.9995,122.6711,SEGAYA PROPERTY
78,Arraial Do Cabo,BR,78.76,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
79,The Valley,AI,84.06,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
83,Hobyo,SO,80.98,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
89,Thinadhoo,MV,81.16,overcast clouds,0.5333,72.9333,
102,Taoudenni,ML,78.46,clear sky,22.6783,-3.9836,
108,Ciudad Bolivar,VE,86.16,light rain,8.1222,-63.5497,Hotel Edi
109,Saravena,CO,79.72,moderate rain,6.9538,-71.8752,Hotel Diamante Saravena
113,Lai,TD,77.92,scattered clouds,9.3952,16.2989,Auberge la Citadelle
119,Acarau,BR,79.86,broken clouds,-2.8856,-40.12,castelo pizzaria
123,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
127,Belmonte,BR,76.15,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
134,Boa Vista,BR,89.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
135,Manama,BH,82.38,clear sky,26.2154,50.5832,Al Safir Hotel
